reviewId,userName,content,rating,thumbsUpCount,replyContent,rated_app_version,annotator_1_sentiment,vader_sentiment,vader_compound,afinn_score,afinn_sentiment
57,Kismano77,"subway surfers has always been a great game, but now it's just overrun with ads. you have to watch ads to receive rewards and when you click an ad to continue a run, it crashes the app and restarts it making you lose all your progress, boosters, and time. some ads don't even load, they're just grey walls that you have to forcefully close the app. and as soon as you finish a run, you're hit with another ad. this game would be so much better if you weren't watching an ad every minute.",2,0,"we appreciate your feedback about the overwhelming ad experience. while ads help keep subway surfers free, we understand they can be annoying and cause issues. our team is working on improvements. thank you for your insights, and we hope you'll consider updating your rating while enjoying the game!",3.61.0,Negative,Positive,0.9085,8.0,Positive
58,Devithanu Koyya,i love this game,5,0,,unknown,Positive,Positive,0.6369,3.0,Positive
59,Boikhutso Ramahobo,it's a good game,5,0,,3.61.0,Positive,Positive,0.4404,3.0,Positive
61,Sam Sam,this game is so good remembered playing it 5 years ago i installed yesterday 1010 game,5,0,,3.61.0,Positive,Positive,0.7008,3.0,Positive
63,Majd Naim,it is the best offline game it's super funny,4,0,"hi there! we're so glad to hear that you love playing the game offline and find it super funny! your kind words truly brighten our day. keep having fun, and we appreciate you sharing your thoughts with us!",3.61.0,Positive,Positive,0.8885,9.0,Positive
65,Nixan Harishraj,this is awesome app,5,0,,3.61.0,Positive,Positive,0.6249,4.0,Positive
67,Angela Zoy,i love this game because you can play it offline,5,0,,3.61.0,Positive,Positive,0.7269,2.0,Positive
68,Udoaka Ibhade,i love the events seriously,5,0,,3.61.0,Positive,Positive,0.5423,3.0,Positive
69,Meena Bisht,i actually love this game a lot it's perfect for long car rides and this doesn't even let u get bored,4,0,hi there! its fantastic to hear how much you enjoy the game during long car rides! we're so glad it keeps you entertained and makes those journeys more fun. keep having a great time gaming!,unknown,Positive,Positive,0.7783,4.0,Positive
70,Kamaldeep Kaur,playing this game was fun experience,5,1,,3.61.0,Positive,Positive,0.6249,4.0,Positive
71,Calvin Zen Fahigal,i like this game it works offline and i love that girl avatar i love it soo much than before,5,0,,3.61.0,Positive,Positive,0.886,7.0,Positive
72,Sm Saiko,good gaming perform,5,1,,unknown,Positive,Positive,0.4404,3.0,Positive
73,Reena Mishra,this is my favourite game,5,1,,unknown,Positive,Neutral,0.0,2.0,Positive
75,Bhavani Hs,really addictive,4,1,hi there! it's fantastic to hear you find it so engaging! your enthusiasm really brightens our day. we hope you continue to enjoy it and discover even more fun along the way!,3.61.0,Positive,Neutral,0.0,0.0,Neutral
76,Elijah Asher,such a cool game,5,1,,3.61.0,Positive,Positive,0.3182,1.0,Positive
77,Asra Arshi,its is my childhood game,5,1,,unknown,Positive,Neutral,0.0,0.0,Neutral
79,Narendra Pardhi,"this game is my favourite one , i love it very very much , i am playing this game from childhood since now , this game is contain very very fun",5,1,,3.61.0,Positive,Positive,0.8712,9.0,Positive
80,Adetutu Adeniji,it's makes me feel better when i'm feeling angry,4,1,hi there! were so happy to hear that the game helps lift your spirits when youre feeling angry! its wonderful to know it brings you some comfort. thank you for sharing your positive experience with us! keep enjoying the game!,unknown,Positive,Neutral,0.0258,0.0,Neutral
81,Habiba Islam,whoever made this thank you,5,1,,3.61.0,Positive,Positive,0.4357,2.0,Positive
82,Kiran Arya,this game is very good and i love this game and my favourite character is the robot wearing a cap,5,1,,3.61.0,Positive,Positive,0.8122,8.0,Positive
84,Zain 308 Zain 308,i feel good when i play this game it was amazing to play i love this game,5,1,,3.61.0,Positive,Positive,0.9403,10.0,Positive
86,Akash,this game is very awesome you play this game it is very awesome no internet no connections it can free and it is very like a running game focus in your eyes,5,0,,3.61.0,Positive,Positive,0.9513,11.0,Positive
88,Kitso Emmanuel,i love all the keys i get and it gets me to focus a lot on other things,5,0,,3.61.0,Positive,Positive,0.6369,3.0,Positive
89,Sabhia Kousar,i love dis game,5,0,,3.61.0,Positive,Positive,0.6369,3.0,Positive
90,Fathima Noora,"i am in a loop playing this game..loved this a lot .. after winning a high score , you will even feel you have got an oscar award ! it's too good..",5,0,,3.61.0,Positive,Positive,0.8977,10.0,Positive
91,Shankar Mondol Pitom Mondol,it is a best game of run game new world new chaceters,5,0,,3.61.0,Positive,Positive,0.6369,3.0,Positive
92,Aaryan Raghuwanshi,this game is amazing and best endless game than temple run,1,0,hi there! we're so glad to hear you think so highly of the game! your comparison to temple run really showcases the fun and excitement we strive to deliver. we truly appreciate your thoughts and are grateful to have you as part of our community. keep enjoying those endless adventures!,unknown,Negative,Positive,0.8402,7.0,Positive
93,Anu Suri,super hero for the game,5,0,,3.61.0,Positive,Positive,0.8176,5.0,Positive
94,Jadhav Sandeep,this game is very nice i am like this game,5,1,,unknown,Positive,Positive,0.6801,5.0,Positive
95,Andy Kinsey,"bro, it's just a rip off of temple run",1,0,"we appreciate your perspective on the game's uniqueness. everyone has their favorites, and we value different opinions. for specific feedback, please contact our support team via the ingame help section settings support. thank you for sharing, and we hope you continue enjoying your gaming experiences!",unknown,Negative,Neutral,0.0,0.0,Neutral
96,Christian Elias,it is kind of little boring and it needs wifi which sucks,1,1,"thank you for your feedback! we understand wifi can affect your experience. if you have suggestions to improve the game, please contact our support team via settings support. we hope you enjoy more moments in your gaming journey!",unknown,Negative,Negative,-0.5434,-4.0,Negative
97,Laxmi Purohit,game sike bro play off,5,0,,3.61.0,Positive,Positive,0.34,0.0,Neutral
98,Avinash Tupkar,goooood i will be in high speed and score in 3 weeks want to compete with me sanvizzzzzzzzz,5,0,,3.61.0,Positive,Positive,0.0772,1.0,Positive
99,M Attique,subway surfers is very important and best game very very very very very nice to play this.,5,1,,unknown,Positive,Positive,0.9162,8.0,Positive
100,Israel Gracious,it is a game everyone wants to play it is fair it is clear mission are sweat the only thing i don't like is because word hunt is not easy and i don't like it you don't give key easy,5,1,,3.60.0,Positive,Negative,-0.1857,-1.0,Negative
