reviewId,userName,content,rating,thumbsUpCount,replyContent,rated_app_version,annotator_1_sentiment,vader_sentiment,vader_compound,afinn_score,afinn_sentiment,ground_truth_sentiment
21,Gopal Apte,this is fun but when i click watch add it lagged,4,0,"it's awesome to hear you're having fun with the game! we totally get that lagging while watching ads can be annoying. just so you know, ads and optional purchases help us keep subway surfers free, and our team is actively working on improving this. we hope you'll consider updating your rating in the future. thanks for sharing your thoughts!",3.60.0,Positive,Negative,-0.1655,2.0,Positive,Positive
22,Oliver Noah,"classic, and just so addicting. unlimeted entertainment! works offline.",5,0,,3.60.0,Positive,Positive,0.4321,-1.0,Negative,Positive
23,Святик Дрозд,"peak, hits good like the old days",5,0,,3.60.0,Positive,Positive,0.6597,5.0,Positive,Positive
24,Eugenia John,i've got a problem the new season i'm told it is not supported on my phone device why?,5,0,,3.59.2,Positive,Negative,-0.5664,-4.0,Negative,Negative
25,Willow,i love this game,5,0,,3.60.0,Positive,Positive,0.6369,3.0,Positive,Positive
26,Drayden Smith,i love this game so much bro like this game is fun this game should be in every app store this is so fun bro,5,0,,3.60.0,Positive,Positive,0.9383,13.0,Positive,Positive
30,Priyatosh Bharadwaj,can't get my old credentials and achievements,1,0,"it seems you're having difficulty accessing your credentials and achievements, and we appreciate you highlighting this. for further assistance, please reach out to our support team via the ingame help section under settings support. your feedback matters, and we look forward to helping you resolve this!",3.60.0,Negative,Neutral,0.0,0.0,Neutral,Neutral
31,Free Gamer 2.0,goat game,5,0,,3.60.0,Positive,Neutral,0.0,0.0,Neutral,Neutral
35,My Tele,the is game happy,5,0,,unknown,Positive,Positive,0.5719,3.0,Positive,Positive
37,Gungun Singh,i love this game,5,0,,3.60.0,Positive,Positive,0.6369,3.0,Positive,Positive
39,Biren Barman,so i think its so so best game i play in my life and i think world's best game play graphic is so amazing and mind blowing i think you should give more free keys that's i cut one star and it's no end point so beautiful bords and cheater i love too play this game in the world is really good nice best game,4,0,"thank you for your wonderful feedback on the graphics and gameplay! we value your thoughts on free keys. if you have specific suggestions or need assistance, please contact our support team via the ingame help section settings support. we're here for you and hope you continue to enjoy the game!",3.59.0,Positive,Positive,0.991,22.0,Positive,Positive
40,Jake Saupan,this game is so fun that every time i have nothing to do this is what i play make. this game popular please!,5,0,,3.60.0,Positive,Positive,0.9008,8.0,Positive,Positive
41,Dhiraj Kumar,this game is so beautiful and also played by offline when i'm bored and i have no internet connection i will play this game because you do not need any internet is save also my internet and i will play without internet when i am in train and internet was is coming my favourite game was roblox but sometime when i am train i do not played because it's need internet but i am bored i play this game subway surfers at 5 star it's needed,5,0,,unknown,Positive,Positive,0.5707,2.0,Positive,Positive
43,Mason Gratto,subway surfers is my favorite game on my tablet rn also subway admits i'm begging u giv me fr3e stuff,5,0,,unknown,Positive,Positive,0.6369,1.0,Positive,Positive
46,Aayansh Bvs,am want steal a brinrot on this,5,0,,unknown,Positive,Negative,-0.4404,-1.0,Negative,Negative
47,Erick Okon,nice game i really love playing it,5,0,,3.59.0,Positive,Positive,0.8545,6.0,Positive,Positive
50,Qasid Hussain,when is the update coming?,5,0,,3.60.0,Positive,Neutral,0.0,0.0,Neutral,Neutral
51,Priyam Dubey,awosome game their are no issue of ping because this game is offline and the optimization is too good it is good source of time pass and peace!,5,0,,unknown,Positive,Positive,0.8588,7.0,Positive,Positive
53,Rani Narah,this game is best i play on 2017 i play for 3 howare and i love this game and his graphics are best and his character are best,5,0,,3.60.0,Positive,Positive,0.9705,12.0,Positive,Positive
54,Amit Kumar Gupta,first choice,5,0,,3.60.0,Positive,Neutral,0.0,0.0,Neutral,Neutral
57,Nahla Hossam,it's very challenging but some people like it and i feel the same i would recommend these kinds of games,4,0,"hi there! we're so happy to hear you find the game both challenging and enjoyable! your recommendation truly means a lot to us, and we appreciate your support. keep having fun and exploring all the exciting challenges ahead!",3.60.0,Positive,Positive,0.7874,4.0,Positive,Positive
58,Raylon Tittle,for the ogs,5,0,,3.60.0,Positive,Neutral,0.0,0.0,Neutral,Neutral
59,Tia Alashkar,i got hacked 2 times that's why i deleted,1,0,,unknown,Negative,Negative,-0.4019,-1.0,Negative,Negative
60,Ndubne Leshaba,this is an amazing game it keeps me busy i can't wait to update it's full of new events it really keeps my mind busy.,5,0,,3.60.0,Positive,Positive,0.5859,4.0,Positive,Positive
61,Wiz Gucci,nice game to play,5,0,,3.60.0,Positive,Positive,0.6369,3.0,Positive,Positive
62,Krystian Ballew,it gives me nostalgic vibes from 2016 i really think you'll like it,5,0,,unknown,Positive,Positive,0.4144,2.0,Positive,Positive
63,Alex Elias,getting carried away what the advertisements go back to the old scoring system,1,0,"thank you for your feedback! we appreciate your thoughts on the ads and scoring system. while ads and optional purchases help keep subway surfers free, we recognize they can be bothersome. your input is important, and our team is working on enhancements. we hope you'll consider updating your rating and continue enjoying the game!",3.60.0,Negative,Neutral,0.0,0.0,Neutral,Neutral
65,Shivam Kumar,this is good game,5,0,,3.60.0,Positive,Positive,0.4404,3.0,Positive,Positive
68,Kalpana Dey,i have been playing this game since my childhood and it is one of my favourite game,5,0,,3.59.0,Positive,Positive,0.2023,2.0,Positive,Positive
69,Rahanarajesh Rahanarajesh,this game is number 1 game inthe world i play daily and enjoy every movement,5,0,,3.60.0,Positive,Positive,0.7096,2.0,Positive,Positive
70,Aryan Raj,w game bro like one of my best games ever like the flying tool is fire like simply no ads but very rarely i see ads like in any other games i've been watching more than twenty ads each minute and the graphics are amazing like irl not showing teeth hehe,5,0,,3.60.0,Positive,Positive,0.9455,17.0,Positive,Positive
74,Rashmi,this is the best it so nostalgic game so fun,5,0,,3.60.0,Positive,Positive,0.857,7.0,Positive,Positive
75,Waheed4 Mughal,good graphics good for kids very best,5,0,,unknown,Positive,Positive,0.8832,9.0,Positive,Positive
77,Alex Mwambughi,i have a lot of fun and fill like i can't give up rather just keep on moving forward,5,0,,3.58.2,Positive,Positive,0.7003,6.0,Positive,Positive
78,Durga Yadav,this is the best game. this is the best game in the world. playing this game would make anyone happy. it is my favorite game. i have been playing it since childhood. i have never seen a better game than this anywhere else.i love this game. thank you.,5,0,,3.60.0,Positive,Positive,0.9719,18.0,Positive,Positive
79,Shahnaz Ansari,best offline and online game best hame ever,5,0,,3.60.0,Positive,Positive,0.836,5.0,Positive,Positive
81,Madison,"i don't play this game alot,not addicted but it's sooo good,no wifi unless you have,and super cool charectors",4,0,"its wonderful to hear you think the game is so enjoyable! thank you for highlighting its offline fun and cool characters. if you ever have any questions or need assistance, feel free to reach out to our support team through the ingame help section settings support. we appreciate your support and hope you continue to have a great time playing!",unknown,Positive,Positive,0.8308,4.0,Positive,Positive
82,Sunday Hedley,it was awesome best experience ever very fun offline game and it teacher you stufff like keep running until you reach your goals i recommend this 105,5,0,,3.60.0,Positive,Positive,0.9452,15.0,Positive,Positive
84,Buster Clark,i love this app! for kids and adult's i would definitely buy this app on every elc. in my house i would definitely buy this!!!!,4,0,"hi there! it's wonderful to hear that the app brings joy to both kids and adults! your enthusiasm and support mean a lot, and we truly appreciate your commitment to sharing the fun in your home. wishing you many happy gaming moments ahead!",3.60.0,Positive,Positive,0.8949,3.0,Positive,Positive
86,Aisha Ali,it is very good game... its really an idea brought to perfection,5,0,,unknown,Positive,Positive,0.7841,6.0,Positive,Positive
87,Ademiluyi Victor,"you guys have a glitch. i have ran more than 14 million and yet i'm not in ranked list, it is not even recording my run score , and this has happened more than alot times after this new update",1,1,it looks like you're experiencing a glitch affecting your scores and ranking. thank you for letting us know! please contact our support team via the ingame help section settings support to share your experience. this will help us address the issue. we appreciate your patience and hope to see your scores recognized soon!,3.60.0,Negative,Neutral,0.0,0.0,Neutral,Neutral
88,Pasnoori Tharun,good but u should eep different levels not same always evey time lava level and marathon and hurdles levels only you are keeping change levels . you should mention wordy hurnt words which are useful and study based words you should mention intresting levels you can start and extend the time of days to thirty to forty days because time is not sufficient to finish tha levels and increase the event coins in levels which are completed you are keeping only hundred or two hundred coin increase coins,3,0,"thank you for sharing your thoughts on level variety and event coins! your suggestions for more diverse levels and longer events are valuable and noted. if you have more ideas or need assistance, please contact our support team via the ingame help section settings support. we appreciate your input!",unknown,Neutral,Positive,0.9144,8.0,Positive,Positive
89,Dedik Eka,i fully can play this game wo network connection,5,0,,3.60.0,Positive,Positive,0.3976,0.0,Neutral,Positive
91,Mohan Singh,very nice and entertainment,5,0,,3.55.0,Positive,Positive,0.7316,3.0,Positive,Positive
92,Ramisa Ahmed,best game in the world,5,0,,unknown,Positive,Positive,0.6369,3.0,Positive,Positive
93,Yuvarani Thulasiram,i i love this game very very much,5,0,,3.60.0,Positive,Positive,0.6369,3.0,Positive,Positive
94,Ahana Kumari,nostalgia hit hard,5,0,,unknown,Positive,Negative,-0.1027,-1.0,Negative,Negative
96,Shariq Khan,this game is very good,5,0,,unknown,Positive,Positive,0.4927,3.0,Positive,Positive
100,Urmila,i love the new new song of the events and also the event,5,0,,3.60.0,Positive,Positive,0.6369,3.0,Positive,Positive
